epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1687,1.55594,2.84133,1.38385,0.62416,0.54579,0.5786,0.30135,1.52683,1.83209,1.51595,0.000467512,0.000467512,0.000467512
2,23.3682,1.57852,1.50342,1.39777,0.44629,0.36447,0.3698,0.18168,1.83184,2.93379,1.89053,0.000934502,0.000934502,0.000934502
3,32.4626,1.60227,1.43046,1.41402,0.60876,0.32183,0.25236,0.09313,3.01246,3.30937,2.64141,0.00139206,0.00139206,0.00139206
4,41.1645,1.57685,1.32446,1.42964,0.46309,0.32601,0.31357,0.19856,1.63103,1.83136,1.6885,0.00138656,0.00138656,0.00138656
5,49.8765,1.52884,1.23519,1.39719,0.55688,0.46337,0.45871,0.20465,2.06746,3.18211,2.00794,0.00137241,0.00137241,0.00137241
6,58.8202,1.54161,1.20898,1.38892,0.23301,0.34958,0.16147,0.05878,2.66482,3.48675,2.33943,0.00135826,0.00135826,0.00135826
7,68.1483,1.53302,1.12231,1.40286,0.45756,0.52015,0.48363,0.26497,1.44627,1.54578,1.53094,0.00134412,0.00134412,0.00134412
8,79.2583,1.4871,1.15405,1.37472,0.43922,0.48388,0.4301,0.21211,1.63786,1.59517,1.84591,0.00132997,0.00132997,0.00132997
9,88.9707,1.43136,1.10654,1.34784,0.66661,0.51883,0.58415,0.33599,1.5243,1.52092,1.59673,0.00131582,0.00131582,0.00131582
10,98.5734,1.47218,1.08988,1.34342,0.82917,0.66674,0.74354,0.35939,1.55554,1.0951,1.60197,0.00130168,0.00130168,0.00130168
11,107.999,1.41217,1.01745,1.32007,0.63537,0.6279,0.66426,0.35433,1.48458,1.21595,1.60457,0.00128753,0.00128753,0.00128753
12,117.635,1.37757,0.99301,1.29671,0.67028,0.58604,0.62317,0.28994,1.77928,1.07493,1.74607,0.00127338,0.00127338,0.00127338
13,127.191,1.42966,0.96332,1.34136,0.72099,0.67766,0.64938,0.37626,1.45322,1.02804,1.53701,0.00125923,0.00125923,0.00125923
14,136.688,1.33576,0.953,1.28344,0.70647,0.55829,0.59081,0.29771,1.89161,1.27748,1.82928,0.00124509,0.00124509,0.00124509
15,146.415,1.37382,0.93051,1.2938,0.78826,0.72158,0.75203,0.45701,1.28375,0.89827,1.43791,0.00123094,0.00123094,0.00123094
16,155.772,1.31256,0.94297,1.26821,0.81455,0.65568,0.72044,0.43371,1.21716,0.86668,1.35369,0.00121679,0.00121679,0.00121679
17,164.976,1.2924,0.88595,1.26701,0.79049,0.70948,0.73154,0.42063,1.42731,0.85989,1.54567,0.00120265,0.00120265,0.00120265
18,174.508,1.2864,0.87211,1.26656,0.56441,0.71377,0.66097,0.40147,1.38372,0.95659,1.45046,0.0011885,0.0011885,0.0011885
